id,text_en,label_en
1,"1. The cut is still a bit fierce, and the momentum seems to be gone",Compression
2,"2. The cut is still a bit fierce, and the momentum seems to be gone",Low_Freq
3,"3. Maybe after being suppressed too fiercely, it sounds weak",Compression
4,4. The vocals and accompaniment are not matched,Stereo_Width
5,5. The vocals and accompaniment are not matched,Volume
6,6. The sound comes out a little more punchy,Mid_Freq
7,7. The sound comes out a little more punchy,Compression
8,"8. The overall voice can be dragged back a little bit. Now the listening experience is a bit forward, so I want to feel more labyrinthous.",Stereo_Width
9,"9. The overall voice can be dragged back a little bit. Now the listening experience is a bit forward, so I want to feel more labyrinthous.",Reverb
10,10. Adibs can also be quiet,Volume
11,11. The voice is farther away from the ears,Stereo_Width
12,12. The voice is farther away from the ears,Reverb
13,13. Voices are more relevant to the ears,Stereo_Width
14,14. The voice is more appropriate to the ears,Mid_Freq
15,15. The voice is more round,Mid_Freq
16,16. The voice is more round,High_Freq
17,17. Want a post-punk decadence,Reverb
18,18. Want a post-punk decadence,Low_Freq
19,19. Want a reverb sound in the church,Reverb
20,"20. If you want a little wider voice, don't gather in the middle.",Stereo_Width
21,21. Girls make sweeter,High_Freq
22,22. Girls make sweeter,Mid_Freq
23,23. Want to be magnetic as a whole,Mid_Freq
24,24. Want to be magnetic as a whole,Low_Freq
25,25. Then the accompaniment sound is a little small,Volume
26,26. 1:06-1:17 I feel that the sound has no sense of space,Reverb
27,27. 1:06-1:17 I feel that the sound has no sense of space,Stereo_Width
28,28. Don't be too electric if you have a clean sound,High_Freq
29,29. Don't be too electric if the sound is clean,Compression
30,30. Can be cleaner,High_Freq
31,31. Can be cleaner,Compression
32,32. What can be added to make it clean,High_Freq
33,33. What can be added to make it clean,Compression
34,"34. The overall vocals can be bigger now, the accompaniment seems a bit big",Volume
35,35. It feels like a little vocals are floating on the accompaniment and it doesn't sink,Volume
36,36. It feels like a little vocals are floating on the accompaniment and it doesn't sink,Low_Freq
37,37. It’s better to feel a little bit smaller,Reverb
38,38. Put a little more sound field,Stereo_Width
39,39. The voice is protruding,Stereo_Width
